Id;Player 1;Player 2;Player 3;Player 4;Player 5;Player 6;Player 7;Player 8;Player 9;Player 10;Player 11;Player 12;Player 13;Player 14;Player 15;Player 16;Player 17;Player 18;Player 19;Player 20;Player 21;Player 22;Player 23;Player 24;Player 25;Player 26;Player 27;Player 28;Player 29;Player 30;Player 31;Player 32;Shirt number 1;Shirt number 2;Shirt number 3;Shirt number 4;Shirt number 5;Shirt number 6;Shirt number 7;Shirt number 8;Shirt number 9;Shirt number 10;Shirt number 11;Shirt number 12;Shirt number 13;Shirt number 14;Shirt number 15;Shirt number 16;Shirt number 17;Shirt number 18;Shirt number 19;Shirt number 20;Shirt number 21;Shirt number 22;Shirt number 23;Shirt number 24;Shirt number 25;Shirt number 26;Shirt number 27;Shirt number 28;Shirt number 29;Shirt number 30;Shirt number 31;Shirt number 32;Total Players
11;63414;109126;109124;60510;43467;42424;117420;111138;118221;112472;101875;117410;54380;107678;46062;118275;113338;110514;41047;110812;109079;117803;370144;118355;122005;115995;0;0;0;0;0;0;1;4;5;3;13;10;20;8;11;22;7;12;21;24;25;2;6;14;9;15;17;16;23;18;19;26;0;0;0;0;0;0;26
12;108279;114662;106671;63500;107949;103686;118171;100620;107686;114624;119811;100185;104485;115098;56184;118965;100630;118841;63520;114835;114764;122716;100443;102891;114235;115117;0;0;0;0;0;0;1;21;23;13;5;18;8;7;3;11;9;12;22;6;19;2;4;20;16;17;14;10;15;24;25;26;0;0;0;0;0;0;26
13;56251;118145;60857;56144;56156;58117;108201;54713;103272;46564;102719;58396;296246;58265;58313;118021;58314;58359;58168;54381;103700;298700;302773;319474;302809;299581;0;0;0;0;0;0;1;6;15;4;22;8;9;19;14;20;13;23;16;17;5;2;12;3;18;10;7;21;11;24;25;26;0;0;0;0;0;0;26
14;33185;118593;118437;109005;121294;117889;118940;102901;113900;114883;118527;46472;113283;104677;109161;101236;109394;60380;114140;117779;100778;54257;115153;112489;121217;118491;0;0;0;0;0;0;1;4;15;6;18;5;23;19;17;10;7;12;21;2;3;22;16;8;20;13;9;26;14;24;25;11;0;0;0;0;0;0;26
15;9042;112433;103845;38054;58646;112432;32618;40150;40871;43450;60622;104289;116137;36807;45947;40154;32008;59547;38338;114111;47163;47076;105057;0;0;0;0;0;0;0;0;0;1;3;6;4;2;5;19;8;10;9;14;16;22;13;12;17;7;23;18;15;11;21;20;0;0;0;0;0;0;0;0;0;23
16;100133;1073857540;114258;109047;113787;116066;33874;103404;110838;107402;60527;54379;60519;105254;54378;118350;54376;54425;103133;101472;114510;41146;120380;54377;54423;54424;0;0;0;0;0;0;1;3;17;26;5;8;14;10;7;20;9;13;12;4;24;16;15;6;2;18;22;21;11;25;23;19;0;0;0;0;0;0;26
17;46865;111874;109123;319321;40987;54677;268627;110491;300065;115079;104794;266915;55668;105354;110661;45238;101600;117459;117464;57946;44245;374247;57952;305755;298368;374249;0;0;0;0;0;0;1;3;4;2;5;15;8;21;10;9;20;12;23;14;18;16;17;19;7;6;11;13;22;24;25;26;0;0;0;0;0;0;26
19;40937;42647;112093;39744;40936;44659;47374;35535;44328;58653;40002;9515;34437;100165;102749;58595;63437;59709;105076;112094;107106;59717;16794;0;0;0;0;0;0;0;0;0;1;15;2;20;13;10;19;16;11;7;9;12;22;4;18;3;6;8;5;21;17;14;23;0;0;0;0;0;0;0;0;0;23
20;105049;32828;111174;39730;37850;39324;107541;57031;40284;33799;105047;105048;107142;32827;40957;59997;36213;59770;105046;107224;116252;116253;57032;0;0;0;0;0;0;0;0;0;1;3;14;2;15;19;13;20;7;17;11;12;23;4;16;5;18;8;10;6;9;22;21;0;0;0;0;0;0;0;0;0;23
21;53800;46218;41124;54791;42545;9087;59782;46862;102526;117766;57679;53801;53798;101504;59934;114917;121308;102796;114426;57678;117568;113982;34813;57677;112377;116355;0;0;0;0;0;0;12;3;15;4;6;10;22;8;9;7;19;1;23;5;17;2;13;14;18;16;21;11;20;24;25;26;0;0;0;0;0;0;26
22;300928;369284;367164;374451;300855;372801;374452;267874;299576;319160;302120;304756;367172;378474;364990;378473;305006;367167;376222;321854;367168;297306;299235;0;0;0;0;0;0;0;0;0;1;5;2;21;4;8;17;10;7;13;9;22;12;6;3;23;16;15;20;14;18;19;11;0;0;0;0;0;0;0;0;0;23
23;44104;112095;4655;100509;35514;39230;101386;43206;34892;42888;103892;40520;101880;116397;112096;104158;107147;104170;112098;116432;107412;35518;107209;0;0;0;0;0;0;0;0;0;1;4;5;23;13;6;20;8;10;7;14;12;16;17;2;3;18;22;19;15;21;11;9;0;0;0;0;0;0;0;0;0;23
24;113596;119849;103721;101761;43135;34098;42606;38439;104749;116051;110303;113961;100971;119890;115086;108453;44440;38475;61720;109517;118494;45142;110459;113271;114314;100897;0;0;0;0;0;0;1;22;6;4;8;10;2;14;9;16;11;23;12;5;3;25;18;17;15;21;13;19;26;7;24;20;0;0;0;0;0;0;26
26;306192;308698;366165;300663;378199;308700;378200;366168;308701;308838;364584;301818;366093;299989;302627;366115;367198;301017;305364;377251;270033;300424;325475;0;0;0;0;0;0;0;0;0;12;6;3;22;15;8;2;14;7;23;10;1;20;4;21;18;16;17;9;5;13;19;11;0;0;0;0;0;0;0;0;0;23
27;36343;116103;112391;105014;37829;116102;101842;39957;46544;37830;112395;59970;116100;43414;57316;112393;46545;102626;103890;46546;103925;116104;100457;0;0;0;0;0;0;0;0;0;13;4;15;2;3;7;6;11;20;10;9;23;1;5;21;14;8;18;22;17;19;12;16;0;0;0;0;0;0;0;0;0;23
28;45307;40097;36358;35232;41303;37496;59817;105056;43266;46599;36797;36857;39330;36795;59996;45032;57398;112389;107429;44770;59657;59816;61726;0;0;0;0;0;0;0;0;0;12;4;19;15;3;17;22;20;21;10;11;1;13;5;23;2;6;8;18;9;14;16;7;0;0;0;0;0;0;0;0;0;23
29;55768;377285;377344;58333;116642;101097;56020;376190;115238;103797;57905;369208;102761;377388;112084;60916;325283;63265;55790;113224;369881;55989;377789;40472;59548;373055;0;0;0;0;0;0;1;14;17;2;3;10;8;21;11;19;18;12;23;4;22;7;15;16;6;13;5;20;9;24;25;26;0;0;0;0;0;0;26
30;34431;35498;40838;45953;59741;42602;4616;38261;43374;112079;106785;42499;116374;103325;31060;116375;112076;105073;112080;101531;113340;101537;110837;0;0;0;0;0;0;0;0;0;12;5;20;2;11;6;14;7;10;22;9;1;23;3;17;4;15;16;13;19;21;8;18;0;0;0;0;0;0;0;0;0;23
31;267922;305733;323818;308987;301521;378507;301091;322028;292343;303983;369529;378506;378577;309125;378508;375480;301688;323819;367197;369482;369944;374206;301506;0;0;0;0;0;0;0;0;0;1;5;4;2;8;21;10;19;18;20;7;16;12;14;13;3;23;9;6;11;15;17;22;0;0;0;0;0;0;0;0;0;23
32;57133;110645;108202;113960;119889;57634;100383;103197;114566;112480;112476;54794;54793;54451;54792;54795;54790;104745;115876;109909;117818;118966;101721;54447;44910;114929;0;0;0;0;0;0;1;14;18;2;3;6;24;8;10;9;11;12;22;5;25;13;26;4;15;7;23;21;20;19;17;16;0;0;0;0;0;0;26
33;299873;303753;364216;309189;369441;374259;309136;378237;308625;368896;319302;306495;308069;367061;369443;367059;378357;367056;366924;308070;306809;367060;369550;0;0;0;0;0;0;0;0;0;16;3;2;4;5;14;15;8;10;23;18;1;22;20;6;17;21;12;13;7;19;9;11;0;0;0;0;0;0;0;0;0;23
34;32299;107264;47005;37707;44333;101849;116275;57123;107612;57124;116276;45893;112382;45895;107265;57121;114464;57126;6864;102533;47220;103169;107744;0;0;0;0;0;0;0;0;0;16;20;6;3;13;17;8;10;21;19;22;23;1;12;2;4;14;5;7;18;9;15;11;0;0;0;0;0;0;0;0;0;23
35;323863;322621;369292;307535;299545;377105;309347;294424;301360;368554;370853;301393;374408;378425;378424;370855;307489;371518;305075;368917;374427;300831;303129;0;0;0;0;0;0;0;0;0;1;5;6;4;3;21;17;10;11;18;14;23;16;2;13;22;19;12;7;15;20;9;8;0;0;0;0;0;0;0;0;0;23
36;102424;116349;109917;116347;104876;38806;112420;116350;40321;42246;40862;45902;116348;38181;112409;116346;41136;108402;112414;57209;42245;47427;102695;0;0;0;0;0;0;0;0;0;1;5;4;19;6;17;15;13;8;10;9;16;23;3;21;2;14;18;12;11;22;7;20;0;0;0;0;0;0;0;0;0;23
37;37721;102030;104901;116389;116388;44348;116392;102040;115078;107313;103352;104900;104909;104906;57148;102035;42046;44833;57150;59922;112088;111145;116393;0;0;0;0;0;0;0;0;0;16;3;2;4;6;8;19;17;7;18;23;12;1;14;9;13;20;10;21;15;5;11;22;0;0;0;0;0;0;0;0;0;23
38;113441;102757;107977;121332;3613;42575;116691;57643;114201;57304;118563;113999;104382;61069;299180;117513;299165;47437;114933;45081;101664;119130;45338;45780;115162;364838;0;0;0;0;0;0;16;3;19;15;25;5;26;8;18;10;11;1;23;2;4;24;14;6;17;21;13;20;9;22;7;12;0;0;0;0;0;0;26
39;114080;101191;43612;112000;108931;103166;117613;109397;112104;40884;57750;103113;109327;119783;47640;114337;60259;117835;118567;59336;308293;115263;46755;116608;60039;118445;0;0;0;0;0;0;24;3;13;16;5;4;8;2;10;17;20;1;25;22;6;23;14;21;26;15;18;11;9;12;7;19;0;0;0;0;0;0;26
40;105414;41555;36665;106487;115001;45467;121229;100475;114874;61171;57330;111222;34102;113335;114778;115055;118202;100957;115237;60579;47723;114714;100868;117946;111021;117486;0;0;0;0;0;0;1;4;5;2;23;6;19;26;25;16;9;12;13;15;3;20;7;24;8;17;10;11;14;18;21;22;0;0;0;0;0;0;26
41;319470;362284;362732;374471;296782;319466;269276;319472;378385;309162;367149;367143;369519;319465;374470;321000;322086;297343;368581;298445;299246;321001;363897;0;0;0;0;0;0;0;0;0;16;4;5;20;3;12;18;15;10;22;19;1;13;6;2;17;11;8;14;7;9;23;21;0;0;0;0;0;0;0;0;0;23
42;39777;46577;61688;30202;43626;41106;39773;34104;44407;37907;63911;46576;116255;59984;112435;47655;112434;46579;107231;104998;32464;46575;107732;0;0;0;0;0;0;0;0;0;1;3;19;4;16;8;5;14;12;10;21;18;23;2;6;15;22;17;20;11;7;13;9;0;0;0;0;0;0;0;0;0;23
43;323835;295575;369939;374454;322131;300053;322085;304401;309846;308931;374457;363529;374453;378482;378483;378481;374456;295642;322105;369312;378480;308727;369302;0;0;0;0;0;0;0;0;0;1;3;4;5;21;7;20;15;17;8;19;22;18;6;2;12;23;14;10;16;11;9;13;0;0;0;0;0;0;0;0;0;23
44;47988;104612;117650;41686;60424;109947;118313;115194;48129;41581;123749;34638;36703;61468;117530;44857;107960;117498;55443;45685;103966;117689;117934;103825;100930;117688;0;0;0;0;0;0;12;23;3;2;17;16;6;11;7;10;25;24;1;13;18;4;22;5;15;20;8;21;19;14;26;9;0;0;0;0;0;0;26
45;63474;45993;111207;43989;43985;42669;1073788255;111804;110644;117047;113573;46815;63560;113487;56029;114178;117456;63607;107645;117776;40352;107256;115930;375732;103584;120299;0;0;0;0;0;0;1;4;3;13;6;5;8;20;11;7;9;23;12;14;15;24;16;17;2;21;10;22;25;18;26;19;0;0;0;0;0;0;26
46;44023;59949;117404;117518;118523;102915;56253;46570;117528;118448;117531;61577;56056;55533;106339;116634;110223;369904;110852;103997;363615;109772;55954;117407;56252;117532;0;0;0;0;0;0;1;5;15;17;4;13;8;19;23;7;11;12;21;3;2;20;6;14;10;26;16;25;9;24;18;22;0;0;0;0;0;0;26
47;114963;59356;61012;105584;108881;114360;263021;368379;108883;114897;114984;117760;61416;104635;109399;113819;59445;115285;368381;119815;56041;114542;115543;110715;119864;104640;0;0;0;0;0;0;12;5;3;2;17;8;6;20;9;7;22;1;23;25;13;4;18;15;21;11;10;14;26;19;24;16;0;0;0;0;0;0;26
48;54165;45756;118193;108873;61475;103038;117802;59416;110608;55661;61164;58254;57974;110998;121381;60819;111967;117955;105130;47837;105138;377282;61000;111213;63413;113918;0;0;0;0;0;0;12;15;3;4;6;14;16;10;19;8;9;22;1;2;13;5;26;20;23;7;17;11;18;24;21;25;0;0;0;0;0;0;26
49;36727;58839;109849;33266;110995;101958;113911;118943;112448;113748;111273;111041;102895;116576;100115;58061;47566;105297;58147;110965;114200;45049;119886;118353;119124;109114;0;0;0;0;0;0;23;2;16;4;22;5;8;14;20;10;9;12;1;24;3;13;17;6;15;26;11;18;21;7;25;19;0;0;0;0;0;0;26
50;101076;111280;40725;111096;41596;59714;60241;105469;61426;7511;103449;60059;60238;117793;111073;114719;110520;45356;115044;117491;114689;115032;108657;108751;116541;117593;0;0;0;0;0;0;23;13;19;26;3;20;7;24;18;10;9;12;1;6;2;25;4;5;14;8;17;16;22;11;15;21;0;0;0;0;0;0;26
51;47557;113551;118407;61489;113436;103875;118683;107439;54809;116721;42173;55780;102149;57474;118345;109872;108697;121223;118143;104313;34514;111035;114786;117731;57472;57473;0;0;0;0;0;0;1;4;6;17;3;23;21;15;19;9;13;22;12;25;2;7;26;5;18;10;14;11;16;20;8;24;0;0;0;0;0;0;26
52;106645;1073803095;1073847836;116034;119842;1073754405;1073847809;1073857490;1073758338;105978;1073847805;1073857232;1073857519;1073857483;1073857256;1073853412;1073781715;1073857282;15814;1073857486;1073800389;1073857220;15794;1073857275;1073857269;1073857272;0;0;0;0;0;0;1;3;16;21;24;15;10;13;8;11;18;12;23;4;20;22;2;25;5;7;14;17;19;6;26;9;0;0;0;0;0;0;26
53;298457;1073853601;325919;298458;278720;301331;325714;305207;1073857268;1073857237;43063;301177;323558;327090;278166;368148;1073800247;278252;301332;305208;327079;1073757878;367129;278690;302643;278641;0;0;0;0;0;0;1;4;2;3;8;6;15;22;19;10;7;21;12;14;5;16;23;24;26;20;25;11;18;13;17;9;0;0;0;0;0;0;26
54;294043;322045;326921;302949;367078;266945;320589;320608;272557;295701;373399;272448;364729;326011;320590;322116;364844;272729;295699;297229;319184;364842;368031;0;0;0;0;0;0;0;0;0;1;6;3;5;4;10;15;20;22;18;9;23;12;13;2;17;8;16;11;21;14;7;19;0;0;0;0;0;0;0;0;0;23
55;323843;296339;367079;367080;374482;319185;374484;295185;321733;368094;322078;307519;373638;298903;374483;367082;301915;295195;270990;374485;302914;323846;367081;0;0;0;0;0;0;0;0;0;1;15;8;21;2;9;6;7;18;17;16;22;12;4;5;23;3;14;19;13;10;20;11;0;0;0;0;0;0;0;0;0;23
56;293981;321999;321262;321056;319234;319239;325279;319238;320968;293308;308216;293776;322021;297768;293360;327051;321032;321133;368212;319241;369453;296184;302008;0;0;0;0;0;0;0;0;0;22;3;5;13;2;7;11;8;18;17;10;1;12;23;20;6;21;4;16;14;19;15;9;0;0;0;0;0;0;0;0;0;23
57;58503;58501;57408;116315;108903;40727;64750;47417;47712;64749;57393;34630;57394;16073;61714;112352;104931;34140;61715;8032;35174;16245;104932;0;0;0;0;0;0;0;0;0;1;20;17;2;3;15;13;22;23;9;7;18;12;6;8;11;16;5;21;4;14;10;19;0;0;0;0;0;0;0;0;0;23
100;110667;109329;117793;118136;47070;42669;107553;108695;113573;60512;101185;102761;114105;111989;110803;119889;114195;118038;101958;118096;107590;118195;40581;101355;108419;57939;59793;0;0;0;0;0;31;5;6;2;23;18;37;16;10;8;19;1;4;15;26;3;13;12;25;7;30;11;32;22;33;35;9;14;0;0;0;0;27
101;118340;110774;111207;34882;113436;111935;103404;108959;108693;101301;104794;47242;102397;106588;63500;114890;63605;103613;114906;59773;107256;118527;108200;114782;0;0;0;0;0;0;0;0;1;2;6;12;5;36;8;41;7;19;14;13;3;4;33;49;16;23;10;20;11;29;9;56;0;0;0;0;0;0;0;0;24
102;121310;120355;110679;60523;116575;103875;105469;117087;103505;114891;113127;118680;121373;118454;61069;107954;39270;104008;108699;108826;119863;33915;103513;113775;113890;113901;110073;117043;116708;114075;0;0;1;23;4;24;3;25;8;7;49;10;20;12;29;6;19;27;21;45;14;17;41;11;9;44;28;5;34;26;15;38;0;0;30
103;63474;114975;44840;100706;44708;118335;59714;57123;122012;113900;112514;100281;104337;114711;107656;121980;101028;1073758298;103558;113661;114235;109396;115079;107693;114117;118165;111031;110551;101215;0;0;0;1;5;4;8;6;38;10;11;18;7;22;25;2;15;30;12;26;3;43;17;14;73;9;28;41;95;46;47;42;0;0;0;29
104;100527;101075;104306;111344;4884;110491;44497;115263;100998;114663;122005;110394;122265;106416;106423;118201;1073857486;111045;115385;101047;45137;118726;9211;118246;106414;117961;118294;0;0;0;0;0;26;15;6;5;2;3;4;11;44;9;19;1;23;24;25;18;22;8;40;7;29;14;10;16;21;50;42;0;0;0;0;0;27
105;42825;120310;113357;114876;57413;118021;46741;114186;46951;115176;60614;117703;34437;109579;115937;115335;112012;3613;115338;103701;118592;61050;102692;0;0;0;0;0;0;0;0;0;23;15;25;29;30;28;18;20;7;11;19;1;22;4;3;63;2;12;32;27;21;17;9;0;0;0;0;0;0;0;0;0;23
106;103830;112489;103512;100299;111123;118171;118303;122002;114855;120368;118491;115228;59486;42917;118205;109911;1073788255;117917;108095;59797;44245;113502;109585;32386;112978;115234;0;0;0;0;0;0;1;12;4;2;3;8;41;7;11;10;27;32;5;33;21;17;39;28;67;23;20;9;18;26;29;37;0;0;0;0;0;0;26
107;101076;121948;114910;114029;45089;112212;116211;118007;108079;118174;118042;42539;100400;109123;114626;101288;114880;59801;101838;44702;118656;106863;113066;104102;100676;0;0;0;0;0;0;0;23;4;14;2;12;24;21;19;10;27;11;40;5;3;16;22;44;8;7;6;31;9;18;26;47;0;0;0;0;0;0;0;25
108;47406;114620;114762;110784;47787;108662;118381;118559;117736;110644;40002;40937;33266;103845;107714;112906;47184;57740;108876;110902;121979;110638;116751;113968;0;0;0;0;0;0;0;0;13;5;24;23;2;21;8;16;10;11;9;25;4;15;3;18;17;22;6;20;19;14;7;31;0;0;0;0;0;0;0;0;24
109;44383;104677;103003;113405;118092;113911;119782;103797;101291;110718;117047;105073;113525;41124;115913;57353;117938;102055;104710;61230;118417;114566;117985;118571;107889;118207;0;0;0;0;0;0;1;22;24;12;18;8;14;15;5;10;7;13;3;4;17;2;20;6;19;30;11;21;16;26;23;28;0;0;0;0;0;0;26
110;60878;61081;118355;121239;61058;100543;60673;105383;119135;110725;46873;114698;107985;118191;100621;60201;100935;35138;111839;115161;103291;118968;115336;114699;45113;42308;100720;0;0;0;0;0;1;5;24;12;14;18;2;17;11;8;6;25;26;4;3;20;22;23;19;16;7;9;15;13;27;21;10;0;0;0;0;0;27
111;37257;100222;63592;63385;44977;8441;46174;60530;35097;41055;60387;102440;42592;109094;119807;4070;39773;106894;118730;119806;106930;0;0;0;0;0;0;0;0;0;0;0;1;6;12;2;16;14;20;9;15;8;7;10;25;33;30;3;22;23;26;29;19;0;0;0;0;0;0;0;0;0;0;0;21
112;59546;113338;113284;315553;57643;118955;57622;113969;54675;112062;57750;117765;47431;57646;115152;117728;57633;45023;108215;121332;16851;111033;315552;101292;108664;45111;107747;118338;0;0;0;0;1;6;5;13;15;23;4;12;11;10;9;16;3;22;25;2;20;8;24;27;18;31;14;50;40;28;17;29;0;0;0;0;28
113;60059;115184;114719;117835;59993;43075;59547;57642;119830;63627;118110;45442;118556;118584;54753;43178;116679;113425;34986;117497;109812;118030;40323;103683;0;0;0;0;0;0;0;0;1;5;32;22;33;19;23;10;14;27;9;12;40;21;28;4;18;26;6;20;8;11;17;92;0;0;0;0;0;0;0;0;24
114;109968;45993;118407;113960;117931;118236;111071;108239;114640;111844;110626;9379;104717;115262;118392;114725;114619;118428;1073857268;119130;114284;107635;54756;114231;0;0;0;0;0;0;0;0;39;5;51;2;25;17;87;8;14;7;10;30;21;6;4;33;24;27;19;49;29;47;9;89;0;0;0;0;0;0;0;0;24
115;8662;34606;46152;60437;41603;4016;45173;117698;101120;102682;102818;104283;102285;102749;47576;60902;118725;37021;104349;110941;106233;109361;0;0;0;0;0;0;0;0;0;0;1;8;25;20;3;18;10;19;7;11;24;30;15;6;12;21;33;13;23;26;22;2;0;1;0;0;0;0;0;0;0;0;22
116;104804;40392;118471;120461;47093;32618;47002;61068;109534;109009;8421;40646;113707;114678;104733;37430;119132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26;5;43;35;20;10;8;17;11;9;33;25;15;24;23;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
117;7174;47678;37429;107085;46941;9169;46859;40870;44849;118314;43450;3582;114687;44725;103519;109029;103531;117839;115257;110106;47443;0;0;0;0;0;0;0;0;0;0;0;25;3;6;4;5;8;10;28;19;39;9;32;30;33;17;2;11;23;34;36;7;0;0;0;0;0;0;0;0;0;0;0;21
118;39161;43444;43081;47909;60486;108398;118731;60844;112334;104735;38491;113977;114659;118613;109044;118315;42400;113976;114680;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;2;7;20;23;47;8;11;17;9;24;31;50;21;41;10;16;18;0;0;0;0;0;0;0;0;0;0;0;0;0;19
119;36627;109124;121327;114662;111986;107686;101097;103686;47374;108069;108657;113955;44676;40875;37140;113626;38475;39936;114835;109238;118011;107904;100443;47648;0;0;0;0;0;0;0;0;1;25;31;95;2;32;20;23;7;9;10;13;15;6;36;30;8;22;16;17;11;14;94;12;0;0;0;0;0;0;0;0;24
120;40525;113487;114059;114937;107949;121307;117613;118841;117702;115238;114643;35479;56184;114686;100219;118316;56175;107819;118226;107646;116803;100898;58653;100135;115536;0;0;0;0;0;0;0;1;3;15;6;5;19;22;27;7;10;30;16;4;32;2;8;21;18;11;13;9;20;14;23;17;0;0;0;0;0;0;0;25
121;60447;109500;113065;6577;122264;115103;34098;7873;47051;112104;119153;45041;110739;116711;116490;114901;109872;114912;110514;104722;108984;114714;101755;0;0;0;0;0;0;0;0;0;16;5;23;31;56;33;14;19;12;11;10;1;96;46;27;24;2;4;30;8;18;7;9;0;0;0;0;0;0;0;0;0;23
122;111333;33250;47190;107641;46774;100112;108250;114614;117763;109263;117081;103120;102481;61397;111852;114903;63307;116419;115243;104644;38567;32561;100954;117384;102765;117390;110777;118629;0;0;0;0;40;34;13;77;17;32;26;24;22;10;27;94;2;4;29;3;6;21;7;18;9;14;19;55;23;25;28;20;0;0;0;0;28
123;106645;60507;32262;39469;104854;102663;114866;112889;63305;114386;113073;116950;100280;117040;105373;117538;118041;114797;60998;116956;43086;44643;108310;116958;111148;114417;118650;0;0;0;0;0;31;37;39;5;15;14;41;10;16;9;7;40;3;27;29;24;8;22;25;17;21;11;20;66;1;65;23;0;0;0;0;0;27
124;40571;115086;118349;111808;101725;56183;62008;110549;121962;100460;114624;122011;102759;102310;108392;113195;103480;103477;115005;117521;114425;58830;118438;108410;109462;118643;103001;0;0;0;0;0;43;5;6;2;21;44;8;4;17;10;20;53;3;15;23;65;29;80;11;27;22;19;61;91;1;25;60;0;0;0;0;0;27
125;117373;114390;106671;109997;63520;110819;60916;57256;57979;108096;117932;103300;112902;110097;118108;107906;100383;114764;38858;114419;47179;114315;110947;110326;108225;114100;119118;0;0;0;0;0;99;5;23;22;4;17;19;43;18;7;14;95;87;24;2;3;8;61;92;97;21;9;11;91;12;20;78;0;0;0;0;0;27
126;63414;109161;108692;118437;102526;118940;109047;117464;115153;60928;54745;34781;54247;115133;115106;33041;46825;63265;113982;115113;57973;59259;370190;101391;118693;37401;0;0;0;0;0;0;1;3;5;4;20;8;26;24;14;10;9;33;25;39;49;2;23;6;17;7;27;40;21;30;31;42;0;0;0;0;0;0;26
130;4019;42072;37499;103506;101094;36774;39639;38211;104101;40632;8707;116665;42601;46637;103293;112083;43746;104024;118647;116431;46849;103604;36844;61151;299165;0;0;0;0;0;0;0;16;4;22;14;21;25;8;89;11;10;18;88;67;12;64;5;2;33;46;6;24;7;9;28;1;0;0;0;0;0;0;0;25
