Id;Name;JapName;Shirt;ShirtNational;Commentary;Country;Country2;Height;Weight;Age;Foot;PlayingStyle;POS;GK;CB;LB;RB;DMF;CMF;LMF;RMF;AMF;LWF;RWF;SS;CF;OffensiveAwareness;BallControl;Dribbling;TightPossession;LowPass;LoftedPass;Finishing;Heading;PlaceKicking;Curl;Speed;Acceleration;KickingPower;Jump;PhysicalContact;Balance;Stamina;DefensiveAwareness;BallWinning;Aggression;GKAwareness;GKCatching;GKClearing;GKReflexes;GKReach;WeakFootUsage;WeakFootAcc;Form;InjuryResistance;Reputation;PlayingAttitude;Trickster;MazingRun;SpeedingBullet;IncisiveRun;LongBallExpert;EarlyCross;LongRanger;ScissorsFeint;DoubleTouch;FlipFlap;MarseilleTurn;Sombrero;CrossOverTurn;CutBehindAndTurn;ScotchMove;StepOnSkillcontrol;HeadingSpecial;LongRangeDrive;Chipshotcontrol;LongRangeShot;KnuckleShot;DippingShots;RisingShots;AcrobaticFinishing;HeelTrick;FirstTimeShot;OneTouchPass;ThroughPassing;WeightedPass;PinpointCrossing;OutsideCurler;Rabona;NoLookPass;LowLoftedPass;GKLowPunt;GKHighPunt;LongThrow;GKLongThrow;PenaltySpecialist;GKPenaltySaver;Gamesmanship;ManMarking;TrackBack;Interception;AcrobaticClear;Captaincy;SuperSub;FightingSpirit;Celebration1;Celebration2;DribblingHunching;DribblingArmMove.;RunningHunching;RunningArmMovement;CornerKicks;FreeKicks;PenaltyKick;DribbleMotion;YouthClub;OwnerClub;ContractUntil;LoanUntil;MarketValue;NationalCaps;Legend;Hand;WinnerGoldenBall;EditName;EditBasics;EditPosition;EditPositions;EditAbilities;EditPlayerSkills;EditPlayingStyle;EditCOMPlayingStyles;EditMovements;Edit1;Edit2;Edit3;Edit4;Edit5;Edit6;Edit7;Value1;Value2;Value3;Value2020_1;Value2020_2;Appearance;ListBoots;ListGloves;InEditFile;OverallStats
1664;L. BUTRÓN;ブトロン;BUTRON;;-1;151;0;184;70;40;False;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;40;54;53;0;57;78;54;60;48;67;64;65;75;71;77;60;58;73;54;0;80;75;75;78;78;1;1;5;2;3;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;8;0;1;1;1;1;1;1;1;1;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;70
1680;C. ÁLVAREZ;クリスティアン アルバレス;ALVAREZ;;-1;147;0;175;75;37;False;0;1;0;2;1;2;1;0;0;1;0;0;0;0;0;60;64;62;0;68;66;50;70;57;57;70;68;74;74;80;71;84;75;74;0;40;40;40;40;40;3;3;6;3;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;58;0;1;1;1;8;1;1;3;1;2191;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;60
1697;R. SANTA CRUZ;ロケ サンタ クルス;SANTA CRUZ;;-1;150;236;191;82;36;False;13;12;0;0;0;0;0;0;0;0;0;0;0;1;2;81;78;74;0;68;66;81;83;62;64;72;71;77;79;81;73;71;55;54;0;40;40;40;40;40;3;2;4;2;5;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;120;0;3;2;3;3;2;13;3;1;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;4;-1;0;0;0;0;0;False;68
1700;P. DA SILVA;パウロ ダ シルバ;DA SILVA;;-1;150;0;180;76;37;False;0;1;0;2;2;2;0;0;0;0;0;0;0;0;0;56;69;63;0;72;73;62;81;65;56;73;67;80;74;84;60;75;81;84;0;40;40;40;40;40;3;3;5;3;3;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;4;0;1;1;1;1;1;9;1;1;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;66
1738;J. VERÓN;フアン セバスティアン ベロン;J. VERON;;-1;144;0;182;79;42;False;5;5;0;0;0;0;2;2;0;0;2;0;0;0;0;66;83;73;0;84;82;63;64;82;77;60;57;84;62;76;75;55;51;50;0;40;40;40;40;40;2;2;3;2;4;3;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;1;0;1;3;3;8;5;16;1;1;1238;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;3;-1;0;0;0;0;0;False;61
1934;P. ROBINSON;ロビンソン;ROBINSON;;-1;204;0;193;90;38;False;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;47;51;49;0;59;62;46;70;45;46;60;58;69;74;70;70;60;56;45;0;78;75;79;75;78;2;2;5;1;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;True;54;0;1;1;1;1;1;1;1;1;104;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;69
1938;M. CARRICK;マイケル キャリック;CARRICK;;-1;204;0;188;74;36;False;15;4;0;2;0;0;2;2;0;0;0;0;0;0;0;68;80;73;0;89;87;68;74;62;66;65;62;80;77;69;75;77;80;78;0;40;40;40;40;40;3;3;6;3;6;1;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;97;0;1;3;1;5;1;6;1;1;105;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;71
1951;S. GIVEN;シェイ ギヴン;GIVEN;;-1;214;0;185;84;41;False;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;43;54;43;0;58;53;44;60;50;50;64;60;72;78;70;64;50;57;42;0;85;81;81;79;78;2;2;5;2;6;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;55;0;1;1;1;1;1;1;1;1;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;73
2214;L. RICKEN;ラース リッケン;RICKEN;;-1;210;0;178;72;21;False;6;8;0;0;0;0;0;2;0;0;2;1;1;1;0;77;77;79;0;80;75;74;66;78;75;81;79;79;78;75;78;83;62;56;0;40;40;40;40;40;2;3;5;1;6;2;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;49;0;1;1;1;3;3;9;1;2;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;70
2315;N. BURDISSO;ニコラス ブルディッソ;BURDISSO;;-1;144;215;182;81;36;False;0;1;0;2;2;2;1;0;0;0;0;0;0;0;0;55;67;66;0;69;74;58;84;50;60;67;68;72;82;85;60;72;79;85;0;40;40;40;40;40;2;3;6;2;6;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;2;0;1;1;1;1;1;1;1;1;139;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;5;-1;0;0;0;0;0;False;65
2453;D. MARADONA;ディエゴ マラドーナ;MARADONA;;-1;144;0;164;70;27;True;5;11;0;0;0;0;0;0;0;0;2;0;0;2;1;94;98;99;0;92;88;96;84;96;95;82;93;82;80;78;97;74;42;44;0;40;40;40;40;40;2;3;7;2;8;3;True;True;False;True;False;False;True;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;15;0;3;3;3;4;6;3;1;2;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;10;-1;0;0;0;0;0;False;89
2489;E. KAWASHIMA;川島 永嗣;KAWASHIMA;;-1;13;0;185;74;34;False;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;42;59;58;0;60;67;50;60;45;47;74;76;81;80;79;62;60;70;48;0;82;83;81;80;79;2;2;6;2;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;1;1;1;6;1;1;1;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;74
2506;PEPE REINA;ペペ レイナ;REINA;;-1;236;0;188;92;35;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;73;67;0;77;82;51;60;55;68;69;74;85;84;85;75;67;69;56;0;88;88;85;93;90;2;3;4;3;6;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;True;0;0;1;1;3;1;1;1;1;1;108;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;83
2542;E. MORETTI;エミリアーノ モレッティ;MORETTI;;-1;215;0;183;80;36;True;10;1;0;2;2;0;0;0;1;0;0;0;0;0;0;62;74;71;0;74;73;56;77;58;64;74;73;73;76;79;68;77;80;82;0;40;40;40;40;40;3;2;5;2;5;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;90;0;1;1;1;1;1;1;1;1;124;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;65
2560;J. TERRY;ジョン テリー;TERRY;;-1;204;0;187;90;37;False;0;1;0;2;0;0;1;1;0;0;0;0;0;0;0;62;66;55;0;70;63;48;91;58;56;61;58;72;79;90;77;73;90;88;0;40;40;40;40;40;2;2;6;2;8;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;90;0;1;1;1;1;1;1;1;1;102;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;37;-1;0;0;0;0;0;False;68
2585;MAXWELL;マクスウェル;MAXWELL;;-1;146;224;176;73;36;True;11;2;0;0;2;1;0;2;1;1;0;1;0;0;0;75;84;78;0;82;80;62;65;55;83;72;76;74;72;70;73;73;75;76;0;40;40;40;40;40;1;3;6;3;7;1;False;False;False;False;False;True;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;24;0;3;8;1;1;6;16;1;1;274;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;68
2586;Z. IBRAHIMOVIĆ;ズラタン イブラヒモヴィッチ;IBRAHIMOVIC;;-1;237;198;195;95;36;False;3;12;0;0;0;0;0;0;0;0;2;0;0;2;2;90;92;88;0;85;82;90;82;80;82;74;70;95;78;95;75;74;48;50;0;40;40;40;40;40;3;4;5;2;8;3;False;True;False;False;False;False;True;False;False;True;True;False;False;True;True;False;True;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;123;0;3;3;1;1;6;11;3;3;1702;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;140;-1;0;0;0;0;0;False;83
2634;F. COSTANZO;フランコ コスタンソ;COSTANZO;;-1;144;215;188;87;37;False;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;56;53;55;0;56;69;45;60;45;45;72;76;76;75;82;62;69;63;43;0;80;75;74;81;76;3;3;4;3;3;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;49;0;1;1;1;3;1;1;3;1;138;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;71
2660;T. SIMONS;ティミー シモンス;SIMONS;;-1;197;0;186;79;41;False;15;4;0;2;0;0;2;1;0;0;0;0;0;0;0;65;70;62;0;76;73;59;77;68;67;58;50;76;70;78;60;79;78;75;0;40;40;40;40;40;2;2;7;1;5;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;0;0;1;1;1;1;1;1;1;1;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;62
2753;C. RODRÍGUEZ;クレメンテ ロドリゲス;C. RODRIGUEZ;;-1;144;0;167;65;36;True;11;2;0;0;2;2;0;0;2;0;0;0;0;0;0;68;70;73;0;67;71;68;70;60;64;79;77;79;76;70;74;76;70;60;0;40;40;40;40;40;2;3;6;2;5;2;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;120;0;1;1;1;1;1;1;1;1;139;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;2;-1;0;0;0;0;0;False;62
2843;IAN RUSH;イアン ラッシュ;IAN RUSH;;-1;241;0;184;78;23;False;3;12;0;0;0;0;0;0;0;0;0;0;0;1;2;91;81;86;0;72;67;94;85;60;58;78;78;81;83;80;70;76;52;46;0;40;40;40;40;40;2;3;7;2;7;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;48;0;3;4;3;4;1;1;1;1;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;77
2951;S. CAMARA;スレイマヌ キャマラ;S. CAMARA;;-1;83;208;174;75;35;False;1;12;0;0;0;0;0;0;0;1;0;1;2;1;2;76;77;76;0;76;70;71;74;68;69;76;75;78;80;74;72;78;56;46;0;40;40;40;40;40;3;2;6;3;3;1;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;56;0;1;4;2;1;2;1;1;1;112;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;65
3191;P. ČECH;ペトル チェフ;CECH;;-1;202;0;196;90;35;True;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;43;62;42;0;65;63;42;70;60;43;60;59;71;61;75;59;60;53;43;0;96;97;89;97;95;2;2;5;2;7;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;99;0;2;1;2;1;1;1;1;1;218;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;86
3200;C. KAMENI;イドリス カルロス カメニ;KAMENI;;-1;50;208;186;86;33;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;40;56;52;0;55;72;40;60;50;64;62;65;78;87;70;64;69;56;53;0;86;85;84;87;87;2;2;5;2;5;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;2;0;1;1;1;1;1;1;1;1;413;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;79
