Id;Neck Length;Neck Size;Shoulder Height;Shoulder Width;Chest Measurement;Waist Size;Arm Size;Thigh Size;Calf Size;Leg Length;Arm Length;Skin Colour;Head Length;Head Width;Head Depth;Face Height;Face Size;Upper Eyelid Type;Bottom Eyelid Type;Eye Height;Horizontal Eye Position;Iris Colour;Pupil Size;Upper Eyelid Ht. (Inner);Upper Eyelid Wd. (Inner);Upper Eyelid Ht. (Outer);Upper Eyelid Wd. (Outer);Inner Eye Height;Inner Eye Position;Eye Corner Height;Outer Eye Position;Bottom Eyelid Height ;Eye Depth;Forehead;Eyebrow Type;Eyebrow Thickness;Eyebrow Style;Eyebrow Density;Eyebrow Colour R;Eyebrow Colour G;Eyebrow Colour B;Inner Eyebrow Height;Brow Width;Outer Edyebrow Height;Temple Width;Eyebrow Depth;Nose Type;Laughter Lines;Nose Height;Nostril Width;Nose Width;Nose Tip Depth;Nose Depth;Upper Lip Type;Lower Lip Type;Mouth Position;Lip Size;Lip Width;Mouth Corner Height;Mouth Depth;Facial Hair Type;Facial Hair Colour R;Facial Hair Colour G;Facial Hair Colour B;Thickness;Cheek Type;Neck Line Type;Cheekbones;Chin Height;Chin Width;Jaw Height;Jawline;Chin Depth;Ear Length;Ear Width;Ear Angle;Overall - Style;Overall - Length;Overall - Wave Level;Overall - Hair Variation;Font - Style;Font - Parted;Font - Hairline;Font - Forehead Width;Side/Back - Style;Side/Back - Cropped;Hair Colour R;Hair Colour G;Hair Colour B;Accessory Colour;Hair Colour;Accessories;Wrist taping;Wrist Tape Colou;Ankle Taping;Player Gloves;Colour;Undershorts;Sleeves;Shirttail;Sock Length;Long-Sleeved Inners;ValueAp1;ValueAp2;ValueAp3;ValueAp4;ValueAp5;ValueAp6;ValueAp7;ValueAp8;ValueAp9;ValueAp10;ValueAp11;ValueAp12;ValueAp13;ValueAp14;ValueAp15;ValueAp16;ValueAp17;ValueAp18;ValueAp19;ValueAp20;ValueAp21;Id_Face;Boots;Gloves;Edit_Face;Edit_Hair;Edit_Physique;Edit_Strip;ValueA
840;-1;1;0;3;2;0;2;3;4;2;-2;2;3;3;3;7;-1;3;1;4;3;1;0;0;1;-6;4;-2;-4;-3;0;0;6;1;4;2;1;3;18;14;10;-4;-5;-5;5;-1;1;1;-4;1;3;3;0;3;2;4;0;1;0;1;7;18;14;10;0;4;3;-4;0;-5;-1;-5;-3;-1;5;-2;7;0;0;14;0;0;0;0;0;0;18;14;10;2;2;False;0;1;0;0;1;0;1;0;1;1;0;7;7;4;7;9;10;9;4;14;3;5;0;1;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
852;-4;0;4;1;-1;0;-1;2;1;0;0;1;2;6;4;0;-1;2;2;4;1;2;0;2;2;-4;-4;2;-4;0;6;1;6;5;4;2;0;3;14;10;7;-6;-4;-2;2;-1;1;1;-4;-1;2;2;2;2;2;2;-5;0;0;2;2;14;10;7;1;1;3;-4;1;-6;-2;-7;-3;-2;2;3;1;3;2;0;1;2;3;1;2;1;14;10;7;2;1;False;0;1;1;0;2;0;2;1;1;1;1;7;7;4;7;9;9;0;2;14;3;10;0;0;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
873;-2;0;2;0;-1;0;0;0;0;0;-1;2;3;3;-1;7;0;3;1;4;0;3;0;0;4;-4;4;0;4;-2;1;2;6;3;7;0;0;3;14;10;7;-2;-1;0;4;-1;1;3;0;0;0;2;2;4;2;3;-4;5;0;0;2;14;10;7;0;1;1;-2;3;-5;1;-3;4;-2;2;3;1;2;2;1;2;1;1;3;4;1;14;10;7;2;1;False;0;1;0;0;2;0;3;1;1;1;0;4;7;5;7;9;9;8;9;14;3;7;0;1;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
880;-1;-2;3;0;0;-3;0;0;0;7;7;6;-4;-4;-4;-1;7;3;4;-4;-2;1;0;-3;-7;-3;0;2;0;5;-3;4;7;1;4;0;1;3;8;5;3;-3;7;-3;0;-7;5;5;0;1;4;0;0;1;2;7;-1;7;0;0;2;8;5;3;0;4;1;2;4;-7;3;-7;-7;0;0;0;1;1;1;1;1;1;1;2;1;1;8;5;3;2;6;False;0;1;0;0;1;0;1;0;1;1;0;0;7;9;7;7;0;7;7;7;7;7;0;1;7;7;1;0;0;0;0;0;0;0;False;False;False;False;0
962;0;0;0;4;4;2;0;3;2;7;0;1;-1;-1;-1;-7;-7;1;1;-7;-7;2;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;1;1;0;0;0;0;0;0;-7;-7;-7;-7;-7;1;1;-7;-7;-7;-7;-7;1;1;-7;-7;-7;-7;-7;1;0;0;0;0;1;1;-7;-7;-7;-7;-7;-7;-7;-7;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;False;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;False;False;False;False;0
963;-1;1;-1;-3;1;1;-1;2;1;3;-3;2;1;1;1;-3;7;3;5;-1;-5;7;0;-2;-2;0;2;1;1;2;-7;0;7;2;4;1;2;3;14;10;7;-4;7;3;-2;-7;1;2;0;-1;3;-7;-2;2;2;7;-3;-2;0;0;10;14;10;7;1;5;2;0;5;-7;-1;1;-7;0;0;0;1;5;2;1;2;4;1;2;1;1;14;10;7;2;1;False;0;1;1;0;1;0;1;0;1;1;0;8;7;7;7;7;0;7;7;7;7;7;0;1;7;7;1;0;0;0;0;0;0;0;False;False;False;False;0
970;1;0;2;3;1;0;0;1;0;0;-2;2;5;5;5;0;0;3;2;-1;3;7;2;1;4;-4;4;3;-4;-4;1;1;6;5;4;1;0;3;14;10;7;-6;-4;-3;3;-7;1;1;-3;0;0;0;1;3;2;4;0;1;0;1;2;14;10;7;0;4;3;-4;2;-6;0;-2;-5;-2;1;-4;3;3;1;0;1;0;3;2;4;2;14;10;7;2;1;False;0;1;0;0;1;0;2;1;3;1;0;7;7;4;7;8;10;0;5;3;3;5;0;1;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
983;-3;2;3;3;2;1;3;1;-1;1;-1;1;2;2;4;6;-1;3;2;4;1;7;0;2;2;-4;-4;2;-4;0;6;1;6;3;4;2;1;3;5;4;3;-1;4;-3;7;-1;1;1;-2;-1;1;1;1;2;2;2;-5;0;0;2;16;5;4;3;0;2;1;-4;1;0;-1;-5;1;-3;3;3;2;4;1;0;2;1;2;2;2;1;5;4;3;2;4;False;0;1;1;0;2;0;2;1;1;1;1;7;7;4;7;9;9;0;7;14;3;10;0;1;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
990;0;0;-6;-4;2;0;1;2;3;1;-5;1;3;3;3;0;0;2;4;0;-1;8;0;0;-7;0;0;0;0;5;0;6;7;2;4;0;2;3;18;14;10;0;0;3;-3;-7;1;5;0;-4;0;-7;-3;1;1;7;0;0;0;0;2;18;14;10;0;5;1;0;1;-7;3;0;-7;0;0;0;2;4;1;1;2;1;1;2;1;1;33;28;21;2;3;False;0;1;0;0;1;0;1;0;1;1;0;7;7;7;7;7;0;7;7;7;7;7;0;0;7;7;1;0;0;0;0;0;0;0;False;False;False;False;0
1006;-3;1;-4;3;2;2;1;3;1;5;-1;1;2;2;2;6;-1;1;1;4;-1;7;0;2;3;-4;1;2;-3;-1;3;0;6;6;4;2;1;3;8;5;3;-7;-3;-3;0;3;1;1;-4;-1;2;2;2;2;2;2;-5;0;0;2;9;8;5;3;1;1;3;-4;2;-5;-2;-7;-3;-6;3;-1;1;3;3;0;1;5;3;2;2;1;8;5;3;2;6;False;0;1;0;0;1;1;3;0;1;1;0;7;7;4;7;8;11;0;2;14;3;10;0;0;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
1255;1;7;4;3;5;5;0;5;1;-1;-1;1;4;4;4;-7;-7;1;1;-7;-7;2;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;1;1;0;0;0;0;0;0;-7;-7;-7;-7;-7;1;1;-7;-7;-7;-7;-7;1;1;-7;-7;-7;-7;-7;1;0;0;0;0;1;1;-7;-7;-7;-7;-7;-7;-7;-7;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;False;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;False;False;False;False;0
1290;-3;-4;0;3;-3;0;-1;0;0;0;0;1;0;1;0;0;-1;1;2;4;1;3;0;2;2;-4;-4;2;-4;0;6;1;4;5;1;2;0;3;18;14;10;-7;-1;1;-2;1;2;1;-2;3;1;0;3;2;2;3;-5;0;0;2;2;18;14;10;0;2;3;-4;2;-6;0;-7;-5;-4;4;-2;1;3;1;0;2;1;1;3;1;1;18;14;10;2;2;False;0;1;0;0;2;0;2;1;2;1;1;7;7;4;0;0;6;0;5;14;3;10;0;0;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
1624;-6;4;-3;2;3;4;3;6;4;3;-1;4;-5;0;-2;4;0;2;1;-3;-1;1;0;0;3;-5;4;-2;-4;-5;0;0;6;1;1;2;1;3;5;4;3;-6;-5;0;4;-1;2;1;-2;1;1;0;2;4;2;2;0;0;0;0;2;5;4;3;1;2;3;-4;0;-5;-2;-7;-4;-2;6;3;5;3;6;0;2;0;3;2;1;1;5;4;3;2;4;False;0;1;0;1;2;0;3;1;1;1;0;7;7;4;7;9;9;3;6;14;3;11;0;1;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
1625;-2;2;-7;-3;2;2;1;2;2;0;-3;4;2;2;2;0;7;2;2;0;-1;1;2;-3;-7;0;5;0;1;0;6;0;7;7;1;0;0;3;8;5;3;-2;7;2;-7;-7;2;2;1;1;5;-7;-3;2;3;7;-2;7;0;0;2;8;5;3;0;3;2;0;2;-7;2;-1;-7;0;0;-2;4;2;1;1;1;1;2;2;1;1;8;5;3;2;6;False;0;1;0;0;1;0;1;0;1;1;0;6;7;7;7;7;0;7;7;7;7;7;0;0;7;7;1;0;0;0;0;0;0;0;False;False;False;False;0
1630;-3;0;-5;0;1;1;1;3;3;2;-6;5;2;2;2;3;7;3;2;-5;0;1;0;-1;0;-3;0;0;-7;0;-2;0;7;5;1;0;1;3;8;5;3;0;7;0;2;-7;2;2;2;0;0;-7;-3;2;2;7;-2;0;0;0;2;8;5;3;0;3;1;0;4;1;7;0;-7;-2;0;0;1;2;1;1;2;1;1;2;1;1;8;5;3;2;6;False;0;1;0;0;1;0;1;0;1;1;0;7;7;7;7;7;0;7;7;7;7;7;0;1;7;7;1;0;0;0;0;0;0;0;False;False;False;False;0
1631;2;1;-7;-7;3;2;-3;-2;-3;4;0;4;1;1;1;5;-1;2;2;-1;3;1;2;3;2;-4;6;-3;-3;-5;1;0;6;1;5;2;1;3;5;4;3;-6;-4;-2;2;-1;2;1;-2;0;0;2;2;2;2;6;-5;0;0;-1;2;5;4;3;0;2;3;-4;2;-2;-1;1;-1;-4;6;0;7;0;0;20;0;0;0;0;0;0;5;4;3;2;4;False;0;1;0;0;1;0;1;1;1;1;0;7;7;4;7;9;9;7;7;0;3;10;0;0;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
1638;-3;1;4;0;0;1;0;0;-1;4;0;5;1;1;1;1;0;3;2;-2;6;1;0;2;6;-4;-1;2;-4;-3;-6;1;7;1;5;2;0;3;5;4;3;-6;4;-2;2;-7;4;2;0;4;0;0;-2;4;2;3;3;3;0;2;1;5;4;3;0;2;1;0;1;-4;-1;-7;-7;-6;4;-2;6;4;7;0;3;0;1;2;1;3;5;4;3;2;4;False;0;10;0;0;2;0;1;1;2;1;1;9;12;7;7;9;6;4;2;14;3;10;0;1;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
1664;-3;-4;5;-3;-2;-1;-3;-3;-3;4;-1;3;6;3;-1;7;-7;2;4;0;-1;1;7;-2;-4;-2;2;-3;-3;-3;-2;2;-7;3;3;0;1;3;3;2;1;0;7;-7;7;-5;1;1;-2;0;-4;-3;-5;2;4;4;-4;7;0;1;8;14;8;6;1;6;3;5;1;4;5;1;-3;0;0;1;2;4;7;1;3;1;1;2;4;2;3;2;1;2;9;False;1;10;0;0;2;0;1;1;1;1;0;8;7;12;7;9;0;9;7;14;3;8;0;1;3;3;1;0;0;0;0;0;1064;0;True;True;True;True;0
1674;-5;1;-4;-1;2;2;2;4;3;-2;-3;2;0;0;0;0;7;2;7;0;-3;2;0;-1;-7;0;3;0;4;3;-5;3;7;6;2;0;1;3;8;5;3;-2;1;-4;-6;0;6;5;4;1;1;-7;-4;1;3;7;-1;7;0;0;12;8;5;3;1;5;2;-3;2;0;1;-1;-7;0;0;2;1;4;3;1;2;4;1;2;1;1;8;5;3;2;6;False;0;1;0;0;1;0;1;0;1;1;0;6;7;4;7;7;7;7;7;7;7;7;0;0;7;7;1;0;0;0;0;0;0;0;False;False;False;False;0
1675;-3;-5;5;0;0;0;0;0;0;0;0;3;1;1;1;0;0;2;5;0;0;1;0;-2;-7;0;0;1;6;1;1;0;7;7;4;1;1;3;8;5;3;-1;7;2;-3;-7;1;5;0;1;6;-7;-3;1;2;7;0;7;0;0;2;8;5;3;0;2;1;0;0;7;2;-7;-7;0;0;0;1;4;1;1;1;1;1;1;1;1;8;5;3;2;6;False;1;9;0;0;1;0;1;0;3;1;0;0;7;7;7;7;0;7;7;7;7;7;0;0;7;7;1;0;0;0;0;0;0;0;False;False;False;False;0
1680;-3;0;3;1;-1;-1;0;0;0;0;-1;3;6;4;2;4;2;1;2;-7;3;1;7;2;-7;-2;-2;5;-5;-5;3;-4;5;2;4;1;0;3;1;1;0;-4;0;-5;7;-1;2;1;0;1;1;-3;-3;3;4;6;1;-7;-2;4;1;18;14;10;0;6;3;0;3;3;5;3;-6;-1;0;2;1;3;2;1;2;6;1;1;4;2;1;1;0;1;9;False;0;1;0;0;2;1;1;1;1;1;0;10;7;7;7;7;0;9;5;14;3;11;0;1;3;3;1;0;0;0;0;0;0;0;True;True;True;False;0
1697;-2;-1;0;4;0;0;-2;2;2;0;0;3;2;2;3;0;2;3;2;-1;3;1;2;3;2;-4;6;-3;-3;-5;1;0;5;1;1;2;0;3;5;4;3;-3;-7;-3;6;-1;1;1;-4;1;3;3;0;2;2;0;-5;0;0;2;3;5;4;3;0;1;1;-4;2;-5;-1;-7;2;-2;6;3;1;3;1;0;2;1;1;2;2;1;5;4;3;2;4;False;1;4;0;1;2;1;2;1;1;1;1;7;7;4;7;8;8;7;4;14;3;10;0;1;3;3;1;0;0;0;0;0;0;0;False;False;True;True;0
1700;-2;0;2;1;-1;-1;0;0;-1;4;0;4;2;3;-1;7;-3;3;5;5;3;1;5;7;-1;6;-2;-3;-5;0;2;-7;7;6;4;2;1;3;5;4;3;1;-2;-3;3;4;1;4;0;3;3;3;3;4;1;4;2;7;-7;5;1;5;4;3;0;1;3;3;0;-5;1;4;3;3;3;3;1;1;5;1;2;1;1;2;4;2;5;4;3;2;4;False;0;1;0;0;2;0;1;0;1;1;0;11;7;10;7;9;11;1;3;14;3;12;0;1;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
1732;-3;0;-5;0;0;0;0;1;0;1;-2;2;2;2;2;0;0;1;2;3;-1;7;1;1;7;-5;4;-3;-4;-5;6;1;6;6;1;2;0;3;5;4;3;-6;-4;-2;2;-1;1;1;-2;3;2;0;0;2;2;0;-5;0;0;-1;7;5;4;3;2;1;3;-4;2;-5;-1;-5;-3;-1;5;-2;0;1;3;0;0;0;3;3;4;2;5;4;3;2;4;False;0;1;0;0;1;0;1;1;1;1;0;7;7;4;7;9;9;0;5;14;3;10;0;0;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
1737;-1;3;-6;0;-1;-1;0;4;2;4;-4;2;0;0;0;3;2;3;1;-1;3;2;2;1;4;-4;4;3;-4;-4;1;1;6;1;4;2;1;3;18;14;10;-6;-3;-3;5;-1;1;1;-4;-2;3;-2;-1;3;2;4;0;1;0;1;1;18;14;10;1;2;1;0;2;-5;2;-7;3;-3;4;1;2;3;1;0;2;3;3;2;1;1;18;14;10;2;2;False;0;1;0;0;2;0;1;0;1;1;1;7;7;4;7;8;11;0;13;14;3;5;0;1;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
1738;0;-1;2;0;0;0;0;0;0;0;0;3;3;1;1;-3;2;4;2;-2;-2;2;0;3;6;-2;4;3;0;-1;0;1;6;1;1;2;1;3;5;4;3;-6;-4;-3;3;-7;6;2;-2;0;1;2;2;2;2;0;-5;0;0;2;5;5;4;3;3;3;1;-4;2;-5;-1;-7;3;-2;6;3;7;0;0;1;0;0;0;0;0;0;5;4;3;2;4;False;0;1;0;0;2;0;1;0;1;1;1;7;7;4;7;8;10;1;8;14;3;10;0;0;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
1770;0;-2;2;-2;-2;-2;0;2;2;-2;0;3;2;2;2;-7;-7;1;1;-7;-7;1;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;1;1;0;0;0;0;0;0;-7;-7;-7;-7;-7;1;1;-7;-7;-7;-7;-7;1;1;-7;-7;-7;-7;-7;1;0;0;0;0;1;1;-7;-7;-7;-7;-7;-7;-7;-7;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;False;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;False;False;False;False;0
1934;-2;0;2;0;-1;0;0;0;0;0;-1;2;1;1;1;-1;-1;2;2;1;-2;9;3;-1;-2;-2;5;0;3;-5;-3;3;4;5;1;0;1;3;14;10;7;1;-4;-3;3;-6;1;1;-3;2;2;-6;0;4;2;1;-5;-1;0;-5;7;14;10;7;2;1;1;-3;0;-6;-2;-6;-7;-1;-3;-5;1;2;1;0;3;1;3;3;4;1;14;10;7;2;1;False;0;1;0;0;2;0;1;1;1;1;0;6;11;0;7;7;1;2;3;14;3;4;0;1;3;3;0;0;1;0;0;0;0;0;False;False;False;False;0
1938;-3;-2;2;-1;0;-2;-2;-4;-2;0;0;1;-2;-3;-3;0;-1;1;1;-3;-1;7;0;0;3;-5;4;-2;-4;-5;0;0;6;1;1;2;0;3;14;10;7;-5;-3;-3;-1;-1;1;1;-5;3;2;0;-1;2;2;3;-6;-2;0;2;2;14;10;7;2;1;3;-4;0;-5;1;-7;-4;-2;1;-4;1;3;2;0;2;6;3;1;4;1;14;10;7;2;1;False;0;1;0;0;2;0;1;1;1;1;1;7;7;4;7;9;10;3;5;14;3;4;0;0;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
1951;-2;6;-5;2;2;4;3;2;1;3;1;1;5;5;5;6;-1;1;6;-3;-1;6;0;0;3;-5;4;-2;-4;-5;0;0;5;6;1;2;2;3;18;14;10;-6;-3;-2;3;-1;3;1;-3;0;0;-1;-2;2;2;6;-5;0;0;2;1;18;14;10;0;3;1;-4;1;-4;1;-7;0;0;4;-2;1;3;1;0;1;1;3;3;2;1;18;14;10;2;2;False;0;1;0;0;2;1;3;0;1;1;1;7;7;10;7;7;8;3;2;13;3;10;0;0;3;3;1;0;0;0;0;0;0;0;False;False;False;False;0
2214;-2;0;0;1;0;0;1;2;2;1;-2;1;0;0;0;-7;-7;1;1;-7;-7;6;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;1;1;0;0;0;0;0;0;-7;-7;-7;-7;-7;1;1;-7;-7;-7;-7;-7;1;1;-7;-7;-7;-7;-7;1;0;0;0;0;1;1;-7;-7;-7;-7;-7;-7;-7;-7;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;False;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;False;False;False;False;0
