source,source_url,player_id,name,team,league,nationality,age,height,weight,main_position,overall_rating,rating_as_GK,rating_as_CB,rating_as_LB,rating_as_RB,rating_as_DMF,rating_as_CMF,rating_as_LMF,rating_as_RMF,rating_as_AMF,rating_as_LWF,rating_as_RWF,rating_as_SS,rating_as_CF,attacking_prowess,ball_control,dribbling,low_pass,lofted_pass,finishing,place_kicking,swerve,header,defensive_prowess,ball_winning,kicking_power,speed,explosive_power,body_control,physical_contact,jump,stamina,goalkeeping,catching,clearing,reflexes,coverage,weak_foot_usage,weak_foot_accuracy,form,injury_resistance
pesmaster,https://www.pesmaster.com/borja-fernandez/pes-2018/player/3544/,3544,70 Borja Fernández,Real Valladolid,Spanish 2nd division,Spain,36,185,73,DMF,,,,,,,,,,,,,,,67,63,72,67,62,67,62,,75,76,72,70,71,63,79,71,40,1,40,40,40,40,73,,,2,
pesmaster,https://www.pesmaster.com/g-loovens/pes-2018/player/3581/,3581,70 G. Loovens,Sheffield Wednesday,English 2nd division,Netherlands,34,177,83,CB,,,,,,,,,,,,,,,65,61,67,64,56,55,63,,77,77,67,62,60,69,85,72,40,3,40,40,40,40,72,,,2,
pesmaster,https://www.pesmaster.com/r-van-persie/pes-2018/player/3582/,3582,79 R. van Persie,Feyenoord Rotterdam,Eredivisie,Netherlands,34,183,71,CF,,,,,,,,,,,,,,,82,84,80,79,80,82,85,,49,47,86,65,69,76,74,67,40,2,40,40,40,40,69,,,1,
pesmaster,https://www.pesmaster.com/d-de-rossi/pes-2018/player/3603/,3603,83 D. De Rossi,Roma,Italian League,Italy,34,184,83,DMF,,,,,,,,,,,,,,,78,70,82,82,73,69,66,,84,88,81,69,69,84,86,78,40,3,40,40,40,40,84,,,3,
pesmaster,https://www.pesmaster.com/a-aquilani/pes-2018/player/3604/,3604,76 A. Aquilani,UD Las Palmas,Spanish League,Italy,33,184,70,CMF,,,,,,,,,,,,,,,82,74,83,82,64,76,78,,61,60,80,66,66,70,71,67,40,3,40,40,40,40,72,,,2,
pesmaster,https://www.pesmaster.com/c-bovo/pes-2018/player/3605/,3605,74 C. Bovo,Pescara,Italian 2nd division,Italy,34,181,79,CB,,,,,,,,,,,,,,,66,66,75,75,61,76,75,,78,75,76,69,68,64,78,74,40,1,40,40,40,40,76,,,3,
pesmaster,https://www.pesmaster.com/g-lux/pes-2018/player/3673/,3673,74 G. Lux,CA River Plate,Argentine League,Argentina,35,186,78,GK,,,,,,,,,,,,,,,52,53,54,71,44,51,44,,59,42,84,66,69,66,80,83,77,2,79,82,81,82,64,,,2,
pesmaster,https://www.pesmaster.com/j-gandolfi/pes-2018/player/3684/,3684,73 J. Gandolfi,Talleres de Córdoba,Argentine League,Argentina,37,176,78,CB,,,,,,,,,,,,,,,74,72,71,72,68,67,69,,75,58,81,78,76,62,77,79,40,4,40,40,40,40,82,,,3,
pesmaster,https://www.pesmaster.com/a-dominguez/pes-2018/player/3688/,3688,75 A. Domínguez,Rayo Vallecano,Spanish 2nd division,Argentina,36,175,73,AMF,,,,,,,,,,,,,,,81,80,81,75,75,79,80,,48,53,77,68,68,73,66,66,40,3,40,40,40,40,65,,,2,
pesmaster,https://www.pesmaster.com/m-lopez/pes-2018/player/3690/,3690,74 M. López,Udinese,Italian League,Argentina,33,188,88,CF,,,,,,,,,,,,,,,76,73,73,62,78,62,67,,47,50,79,72,72,62,84,74,40,3,40,40,40,40,73,,,2,
pesmaster,https://www.pesmaster.com/c-tevez/pes-2018/player/3712/,3712,80 C. Tevez,CA Boca Juniors,Argentine League,Argentina,33,173,71,CF,,,,,,,,,,,,,,,77,78,78,76,77,77,78,,62,55,85,73,76,70,82,76,40,2,40,40,40,40,80,,,3,
pesmaster,https://www.pesmaster.com/j-herrera/pes-2018/player/3726/,3726,75 J. Herrera,Universidad de Chile,Chilean League,Chile,36,184,87,GK,,,,,,,,,,,,,,,55,52,70,72,65,70,65,,72,68,80,68,68,70,82,78,84,3,83,83,80,80,70,,,3,
pesmaster,https://www.pesmaster.com/joaquin/pes-2018/player/3741/,3741,82 Joaquín,Real Betis,Spanish League,Spain,36,179,75,RWF,,,,,,,,,,,,,,,86,85,81,86,71,77,88,,47,51,70,77,78,85,62,42,40,1,40,40,40,40,74,,,2,
pesmaster,https://www.pesmaster.com/v-enyeama/pes-2018/player/3848/,3848,82 V. Enyeama,LOSC Lille,Ligue 1,Nigeria,35,184,87,GK,,,,,,,,,,,,,,,72,68,66,68,45,73,45,,74,48,76,76,80,67,85,88,90,2,87,85,90,87,67,,,3,
pesmaster,https://www.pesmaster.com/j-villar/pes-2018/player/3876/,3876,75 J. Villar,Free,Position,Paraguay,40,180,85,GK,,,,,,,,,,,,,,,53,52,58,63,40,50,47,,56,44,82,70,74,70,77,80,83,3,81,83,84,81,60,,,1,
pesmaster,https://www.pesmaster.com/s-abreu/pes-2018/player/3882/,3882,72 S. Abreu,Audax Italiano,Chilean League,Uruguay,41,193,85,CF,,,,,,,,,,,,,,,72,69,69,62,78,53,50,,47,49,77,72,67,60,87,79,40,3,40,40,40,40,70,,,3,
pesmaster,https://www.pesmaster.com/w-ayovi/pes-2018/player/3889/,3889,74 W. Ayoví,Free,Position,Ecuador,38,175,81,LB,,,,,,,,,,,,,,,70,70,74,75,60,77,78,,74,76,74,71,72,70,77,68,40,2,40,40,40,40,69,,,3,
pesmaster,https://www.pesmaster.com/r-weidenfeller/pes-2018/player/3968/,3968,78 R. Weidenfeller,Borussia Dortmund,Other European Teams,Germany,37,190,88,GK,,,,,,,,,,,,,,,53,44,58,57,40,52,42,,59,52,80,59,55,60,83,81,87,1,81,80,86,87,76,,,2,
pesmaster,https://www.pesmaster.com/edu-dracena/pes-2018/player/3978/,3978,75 Edu Dracena,Palmeiras,Brazilian League,Brazil,36,187,81,CB,,,,,,,,,,,,,,,66,62,67,67,58,59,55,,82,82,73,66,65,65,84,84,40,2,40,40,40,40,69,,,1,
pesmaster,https://www.pesmaster.com/a-robben/pes-2018/player/3997/,3997,89 A. Robben,Free,Position,Netherlands,33,180,80,RWF,,,,,,,,,,,,,,,88,94,82,75,86,80,88,,50,50,88,89,90,89,70,62,40,1,40,40,40,40,72,,,1,
pesmaster,https://www.pesmaster.com/s-taylor/pes-2018/player/4006/,4006,68 S. Taylor,Southampton,English League,England,37,198,85,GK,,,,,,,,,,,,,,,47,50,53,63,40,43,42,,56,41,78,65,64,60,73,74,77,3,75,77,74,76,56,,,1,
pesmaster,https://www.pesmaster.com/p-crouch/pes-2018/player/4012/,4012,75 P. Crouch,Stoke City,English League,England,36,201,75,CF,,,,,,,,,,,,,,,79,68,78,68,78,63,69,,51,50,78,68,66,65,80,69,40,2,40,40,40,40,76,,,2,
pesmaster,https://www.pesmaster.com/p-evra/pes-2018/player/4013/,4013,80 P. Evra,West Ham United,English League,France,36,174,76,LB,,,,,,,,,,,,,,,77,75,77,76,59,60,74,,69,74,76,77,79,81,68,86,40,2,40,40,40,40,80,,,3,
pesmaster,https://www.pesmaster.com/j-plasil/pes-2018/player/4016/,4016,76 J. Plašil,Girondins de Bordeaux,Ligue 1,Czech Republic,35,182,72,CMF,,,,,,,,,,,,,,,82,76,84,82,67,76,78,,65,65,74,66,66,72,62,69,40,4,40,40,40,40,69,,,2,
pesmaster,https://www.pesmaster.com/c-carrasso/pes-2018/player/4019/,4019,78 C. Carrasso,Galatasaray SK,Other European Teams,France,36,187,87,GK,,,,,,,,,,,,,,,54,57,57,60,45,50,45,,61,44,85,64,67,77,83,80,87,2,86,80,82,84,65,,,1,
pesmaster,https://www.pesmaster.com/fabio/pes-2018/player/4039/,4039,76 Fábio,Cruzeiro EC,Brazilian League,Brazil,37,188,92,GK,,,,,,,,,,,,,,,50,44,50,60,40,50,41,,61,48,69,51,71,54,75,74,87,2,84,82,90,83,62,,,2,
pesmaster,https://www.pesmaster.com/m-brighi/pes-2018/player/4059/,4059,73 M. Brighi,Empoli FC,Italian 2nd division,Italy,36,178,77,CMF,,,,,,,,,,,,,,,76,69,77,77,65,68,69,,70,66,77,68,68,65,75,76,40,2,40,40,40,40,75,,,2,
pesmaster,https://www.pesmaster.com/d-bonera/pes-2018/player/4063/,4063,75 D. Bonera,Villarreal,Spanish League,Italy,36,183,84,CB,,,,,,,,,,,,,,,66,61,73,71,58,62,59,,85,84,70,60,59,67,82,82,40,2,40,40,40,40,69,,,1,
pesmaster,https://www.pesmaster.com/f-navarro/pes-2018/player/4070/,4070,75 F. Navarro,Deportivo La Coruña,Spanish League,Spain,35,176,69,LB,,,,,,,,,,,,,,,71,67,75,75,49,56,72,,81,77,61,76,75,67,73,76,40,1,40,40,40,40,80,,,3,
pesmaster,https://www.pesmaster.com/t-motta/pes-2018/player/4071/,4071,81 T. Motta,Paris Saint-Germain,Ligue 1,Italy,35,187,83,DMF,,,,,,,,,,,,,,,83,72,86,85,60,68,76,,,80,77,61,70,63,86,80,40,1,40,40,40,40,68,,,1,
pesmaster,https://www.pesmaster.com/iniesta/pes-2018/player/4073/,4073,87 Iniesta,FC Barcelona,Spanish League,Spain,33,171,68,CMF,,,,,,,,,,,,,,,95,90,93,86,71,70,79,,67,66,71,74,76,88,69,56,40,2,40,40,40,40,74,,,2,
pesmaster,https://www.pesmaster.com/w-rooney/pes-2018/player/4152/,4152,80 W. Rooney,Everton,English League,England,32,176,83,AMF,,,,,,,,,,,,,,,77,74,77,82,80,79,82,,58,57,84,72,68,75,83,78,40,2,40,40,40,40,79,,,2,
pesmaster,https://www.pesmaster.com/f-coloccini/pes-2018/player/4193/,4193,74 F. Coloccini,San Lorenzo,Argentine League,Argentina,35,184,82,CB,,,,,,,,,,,,,,,62,66,74,70,55,60,64,,76,78,76,65,66,70,76,80,40,3,40,40,40,40,77,,,3,
pesmaster,https://www.pesmaster.com/fernando-torres/pes-2018/player/4208/,4208,81 Fernando Torres,Atlético de Madrid,Spanish League,Spain,33,186,78,CF,,,,,,,,,,,,,,,82,83,78,67,82,67,77,,60,53,82,80,79,65,79,75,40,3,40,40,40,40,77,,,2,
pesmaster,https://www.pesmaster.com/j-brechet/pes-2018/player/4288/,4288,73 J. Bréchet,Gazelec FC Ajaccio,Ligue 2,France,38,186,81,CB,,,,,,,,,,,,,,,71,66,73,69,65,69,66,,83,80,64,70,70,66,73,70,40,3,40,40,40,40,69,,,1,
pesmaster,https://www.pesmaster.com/f-balmont/pes-2018/player/4294/,4294,73 F. Balmont,Dijon FCO,Ligue 1,France,37,168,72,CMF,,,,,,,,,,,,,,,75,72,77,76,65,72,68,,73,76,75,65,67,79,73,63,40,2,40,40,40,40,75,,,3,
pesmaster,https://www.pesmaster.com/r-vercoutre/pes-2018/player/4295/,4295,74 R. Vercoutre,Stade Malherbe Caen,Ligue 1,France,37,185,78,GK,,,,,,,,,,,,,,,63,60,64,69,51,51,53,,64,54,65,67,68,56,80,80,83,3,85,78,80,81,74,,,3,
pesmaster,https://www.pesmaster.com/f-coppola/pes-2018/player/4320/,4320,68 F. Coppola,Hellas Verona,Italian League,Italy,39,188,86,GK,,,,,,,,,,,,,,,53,52,53,56,50,51,52,,50,53,78,63,63,61,83,75,77,2,74,75,74,76,55,,,2,
pesmaster,https://www.pesmaster.com/c-terzi/pes-2018/player/4325/,4325,73 C. Terzi,Spezia,Italian 2nd division,Italy,33,180,69,CB,,,,,,,,,,,,,,,70,64,68,62,57,56,59,,77,80,72,72,69,73,77,78,40,3,40,40,40,40,74,,,2,
pesmaster,https://www.pesmaster.com/d-dainelli/pes-2018/player/4339/,4339,76 D. Dainelli,Chievo,Italian League,Italy,38,191,78,CB,,,,,,,,,,,,,,,73,67,74,72,56,57,58,,83,85,72,68,67,64,82,76,40,3,40,40,40,40,74,,,2,
pesmaster,https://www.pesmaster.com/s-pellissier/pes-2018/player/4376/,4376,75 S. Pellissier,Chievo,Italian League,Italy,38,175,76,CF,,,,,,,,,,,,,,,77,73,71,62,77,63,71,,48,49,83,73,74,77,75,75,40,4,40,40,40,40,73,,,2,
pesmaster,https://www.pesmaster.com/a-caracciolo/pes-2018/player/4395/,4395,72 A. Caracciolo,Brescia,Italian 2nd division,Italy,36,194,80,CF,,,,,,,,,,,,,,,71,61,67,63,80,61,58,,,53,72,68,65,73,91,84,40,2,40,40,40,40,67,,,2,
pesmaster,https://www.pesmaster.com/d-pizarro/pes-2018/player/4410/,4410,74 D. Pizarro,Universidad de Chile,Chilean League,Chile,38,171,65,DMF,,,,,,,,,,,,,,,78,75,80,80,65,78,78,,60,60,75,68,68,72,68,60,40,3,40,40,40,40,70,,,1,
pesmaster,https://www.pesmaster.com/felipe/pes-2018/player/4412/,4412,77 Felipe,SPAL,Italian League,Brazil,33,188,75,CB,,,,,,,,,,,,,,,70,66,71,71,61,56,55,,82,80,69,72,71,78,80,82,40,1,40,40,40,40,75,,,2,
pesmaster,https://www.pesmaster.com/s-muntari/pes-2018/player/4414/,4414,74 S. Muntari,Deportivo La Coruña,Spanish League,Ghana,33,179,76,DMF,,,,,,,,,,,,,,,76,69,75,75,60,65,68,,69,77,83,66,62,67,83,80,40,1,40,40,40,40,75,,,2,
pesmaster,https://www.pesmaster.com/ricardo-costa/pes-2018/player/4499/,4499,73 Ricardo Costa,Tondela,Portugal League,Portugal,36,184,80,CB,,,,,,,,,,,,,,,60,58,67,55,56,54,53,,80,82,71,69,70,62,82,82,40,2,40,40,40,40,74,,,2,
pesmaster,https://www.pesmaster.com/c-ronaldo/pes-2018/player/4522/,4522,94 C. Ronaldo,Real Madrid,Spanish League,Portugal,32,185,80,LWF,,,,,,,,,,,,,,,91,86,83,83,95,75,82,,,57,94,89,86,79,87,98,40,2,40,40,40,40,89,,,2,
pesmaster,https://www.pesmaster.com/r-quaresma/pes-2018/player/4526/,4526,79 R. Quaresma,Beşiktaş JK,Other European Teams,Portugal,34,175,67,RWF,,,,,,,,,,,,,,,87,88,73,90,66,74,90,,44,41,80,81,83,77,72,58,40,1,40,40,40,40,68,,,2,
pesmaster,https://www.pesmaster.com/o-deschacht/pes-2018/player/4541/,4541,73 O. Deschacht,Anderlecht,Other European Teams,Belgium,36,187,81,CB,,,,,,,,,,,,,,,71,69,72,74,61,62,65,,78,75,76,70,69,60,82,73,40,2,40,40,40,40,77,,,2,
pesmaster,https://www.pesmaster.com/t-sivok/pes-2018/player/4556/,4556,73 T. Sivok,Free,Position,Czech Republic,34,183,77,CB,,,,,,,,,,,,,,,68,64,73,70,50,55,60,,,79,74,64,62,62,80,79,40,2,40,40,40,40,75,,,1,
pesmaster,https://www.pesmaster.com/v-demirel/pes-2018/player/4565/,4565,76 V. Demirel,Fenerbahçe SK,Other European Teams,Turkey,36,191,90,GK,,,,,,,,,,,,,,,53,46,66,65,41,52,45,,74,54,77,59,61,60,90,83,83,3,79,82,78,84,75,,,2,
pesmaster,https://www.pesmaster.com/r-rotan/pes-2018/player/4616/,4616,76 R. Rotan,FC Dynamo Kyiv,Other European Teams,Ukraine,36,174,67,CMF,,,,,,,,,,,,,,,78,72,79,80,70,80,76,,72,70,79,72,72,74,64,70,40,3,40,40,40,40,74,,,2,
pesmaster,https://www.pesmaster.com/d-srna/pes-2018/player/4636/,4636,79 D. Srna,FC Shakhtar Donetsk,Other European Teams,Croatia,35,178,78,RB,,,,,,,,,,,,,,,80,70,82,85,68,83,80,,76,79,80,77,69,69,72,66,40,2,40,40,40,40,77,,,3,
pesmaster,https://www.pesmaster.com/b-cesar/pes-2018/player/4655/,4655,76 B. Cesar,Chievo,Italian League,Slovenia,35,191,89,CB,,,,,,,,,,,,,,,71,65,70,66,57,55,57,,,86,72,68,66,62,90,75,40,3,40,40,40,40,74,,,2,
pesmaster,https://www.pesmaster.com/a-berezutski/pes-2018/player/4738/,4738,74 A. Berezutski,PFK CSKA Moskva,Other European Teams,Russia,35,190,87,CB,,,,,,,,,,,,,,,66,58,69,64,58,51,47,,82,80,74,61,62,73,86,80,40,3,40,40,40,40,80,,,3,
pesmaster,https://www.pesmaster.com/s-ignashevich/pes-2018/player/4739/,4739,75 S. Ignashevich,PFK CSKA Moskva,Other European Teams,Russia,38,187,84,CB,,,,,,,,,,,,,,,69,59,75,68,56,75,60,,,78,83,59,62,79,84,76,40,2,40,40,40,40,72,,,3,
pesmaster,https://www.pesmaster.com/l-gonzalez/pes-2018/player/4747/,4747,75 L. González,Atlético Paranaense,Brazilian League,Argentina,36,185,75,CMF,,,,,,,,,,,,,,,79,74,81,79,70,74,79,,70,64,73,69,66,65,72,59,40,3,40,40,40,40,66,,,2,
pesmaster,https://www.pesmaster.com/a-aguilar/pes-2018/player/4761/,4761,74 A. Aguilar,Free,Position,Colombia,32,185,79,DMF,,,,,,,,,,,,,,,75,70,77,72,64,62,63,,76,75,75,60,69,72,80,70,40,3,40,40,40,40,76,,,3,
pesmaster,https://www.pesmaster.com/luisao/pes-2018/player/4769/,4769,79 Luisão,SL Benfica,Portugal League,Brazil,36,193,90,CB,,,,,,,,,,,,,,,69,64,75,70,58,60,55,,86,87,79,59,59,66,90,85,40,2,40,40,40,40,73,,,3,
pesmaster,https://www.pesmaster.com/v-di-cesare/pes-2018/player/4871/,4871,69 V. Di Cesare,Parma Calcio 1913,Italian 2nd division,Italy,34,187,75,CB,,,,,,,,,,,,,,,69,67,70,71,52,56,52,,75,75,73,70,71,66,72,72,40,2,40,40,40,40,73,,,3,
pesmaster,https://www.pesmaster.com/r-huth/pes-2018/player/4872/,4872,77 R. Huth,Leicester City,English League,Germany,33,191,88,CB,,,,,,,,,,,,,,,63,58,66,72,58,62,55,,,83,79,69,62,67,96,71,40,2,40,40,40,40,79,,,2,
pesmaster,https://www.pesmaster.com/j-milner/pes-2018/player/4882/,4882,80 J. Milner,Liverpool,English League,England,31,175,70,LB,,,,,,,,,,,,,,,77,76,83,84,68,77,80,,74,75,83,70,72,68,72,63,40,2,40,40,40,40,90,,,3,
pesmaster,https://www.pesmaster.com/g-johnson/pes-2018/player/4884/,4884,76 G. Johnson,Stoke City,English League,England,33,182,78,RB,,,,,,,,,,,,,,,74,76,73,73,61,60,67,,73,75,77,76,76,67,71,76,40,2,40,40,40,40,78,,,2,
pesmaster,https://www.pesmaster.com/w-sneijder/pes-2018/player/4918/,4918,82 W. Sneijder,Free,Position,Netherlands,33,170,72,AMF,,,,,,,,,,,,,,,85,82,85,86,75,85,88,,57,54,87,75,72,86,62,60,40,4,40,40,40,40,75,,,2,
pesmaster,https://www.pesmaster.com/r-zwinkels/pes-2018/player/4920/,4920,72 R. Zwinkels,ADO Den Haag,Eredivisie,Netherlands,34,185,83,GK,,,,,,,,,,,,,,,54,56,68,67,42,45,42,,58,48,76,67,64,63,80,77,81,2,75,76,79,83,67,,,3,
pesmaster,https://www.pesmaster.com/a-rosina/pes-2018/player/4928/,4928,71 A. Rosina,Salernitana,Italian 2nd division,Italy,33,170,69,SS,,,,,,,,,,,,,,,74,75,72,70,71,78,78,,40,57,75,75,79,72,70,72,40,1,40,40,40,40,71,,,2,
pesmaster,https://www.pesmaster.com/a-gilardino/pes-2018/player/4929/,4929,74 A. Gilardino,Spezia,Italian 2nd division,Italy,35,184,79,CF,,,,,,,,,,,,,,,76,69,71,57,80,54,72,,,48,76,68,68,61,78,80,40,3,40,40,40,40,72,,,2,
pesmaster,https://www.pesmaster.com/a-mcgregor/pes-2018/player/4949/,4949,74 A. Mcgregor,Hull City,English 2nd division,Scotland,35,183,74,GK,,,,,,,,,,,,,,,55,57,60,69,45,51,45,,66,50,85,71,70,63,82,84,85,3,77,79,82,78,69,,,3,
pesmaster,https://www.pesmaster.com/a-hutton/pes-2018/player/4953/,4953,73 A. Hutton,Aston Villa,English 2nd division,Scotland,33,185,84,RB,,,,,,,,,,,,,,,71,70,66,68,56,58,64,,74,73,66,74,72,65,78,72,40,2,40,40,40,40,80,,,2,
